2023-01-23T13:42:03.274Z,mb,"2 km NE of Lakhipur, India",earthquake
2023-01-23T13:29:36.260Z,mb,Banda Sea,earthquake
2023-01-23T12:01:32.370Z,md,"57 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2023-01-23T10:37:52.930Z,mww,"92 km SSW of Qrendi, Malta",earthquake
2023-01-23T10:37:46.658Z,mb,south of the Fiji Islands,earthquake
2023-01-23T10:08:01.471Z,ml,"61 km SE of Denali National Park, Alaska",earthquake
2023-01-23T08:10:37.610Z,ml,"23 km SW of Port Lions, Alaska",earthquake
2023-01-23T08:09:04.269Z,mb,southeast of the Loyalty Islands,earthquake
2023-01-23T07:54:58.660Z,md,Puerto Rico,earthquake
2023-01-23T06:39:54.770Z,md,"88 km N of Suárez, Puerto Rico",earthquake
2023-01-23T06:37:03.770Z,md,"123 km N of Suárez, Puerto Rico",earthquake
2023-01-23T05:37:42.960Z,md,Puerto Rico region,earthquake
2023-01-23T04:35:06.251Z,mwr,"68 km S of Hirara, Japan",earthquake
2023-01-23T03:05:19.620Z,md,Puerto Rico region,earthquake
2023-01-23T03:02:03.289Z,mb,South Sandwich Islands region,earthquake
2023-01-23T02:59:43.370Z,mb,"Volcano Islands, Japan region",earthquake
2023-01-23T02:44:36.190Z,ml,"34 km WSW of Karluk, Alaska",earthquake
2023-01-23T02:42:57.559Z,mb,"147 km NW of Tobelo, Indonesia",earthquake
2023-01-23T01:44:27.400Z,md,"28km WNW of Petrolia, CA",earthquake
2023-01-23T01:17:47.630Z,md,"6 km ESE of La Parguera, Puerto Rico",earthquake
2023-01-22T23:13:08.480Z,md,"6 km ESE of La Parguera, Puerto Rico",earthquake
2023-01-22T22:49:23.265Z,mb,"54 km SE of Lukatan, Philippines",earthquake
2023-01-22T22:25:06.580Z,md,Puerto Rico,earthquake
2023-01-22T22:15:26.093Z,mb,"15 km NE of Rotorua, New Zealand",earthquake
2023-01-22T22:08:56.488Z,mb,Guatemala,earthquake
2023-01-22T22:08:27.516Z,mb,"129 km WSW of Zhangye, China",earthquake
2023-01-22T21:49:17.570Z,md,"15km WSW of Ferndale, CA",earthquake
2023-01-22T21:22:37.585Z,mb,"Hindu Kush region, Afghanistan",earthquake
2023-01-22T20:46:08.005Z,mb,"101 km S of Puerto San José, Guatemala",earthquake
2023-01-22T20:13:42.392Z,mb,"108 km SSE of Panguna, Papua New Guinea",earthquake
2023-01-22T20:07:59.636Z,ml,northern Alaska,earthquake
2023-01-22T20:06:37.343Z,mb_lg,"7 km NE of Hope, Kansas",earthquake
2023-01-22T20:00:53.190Z,md,"2 km SE of Maria Antonia, Puerto Rico",earthquake
2023-01-22T19:03:03.690Z,md,Puerto Rico,earthquake
2023-01-22T18:56:11.720Z,mb,Fiji region,earthquake
2023-01-22T18:51:49.860Z,md,Mona Passage,earthquake
2023-01-22T18:21:02.158Z,mb,Molucca Sea,earthquake
2023-01-22T17:57:42.454Z,mb,"155 km NW of Tobelo, Indonesia",earthquake
2023-01-22T16:57:12.253Z,mb,"204 km NE of Lospalos, Timor Leste",earthquake
2023-01-22T16:56:54.160Z,md,"49km W of Petrolia, CA",earthquake
2023-01-22T16:43:29.810Z,md,"69 km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2023-01-22T16:19:10.306Z,ml,western Texas,earthquake
2023-01-22T15:13:24.510Z,md,"3 km NE of San Germán, Puerto Rico",earthquake
2023-01-22T14:35:13.490Z,md,"53 km NNE of Luquillo, Puerto Rico",earthquake
2023-01-22T14:34:19.620Z,ml,"137 km N of Suárez, Puerto Rico",earthquake
2023-01-22T10:22:17.702Z,ml,New Mexico,earthquake
2023-01-22T10:01:18.185Z,ml,"49 km WNW of Cantwell, Alaska",earthquake
2023-01-22T09:44:47.287Z,mb,"3 km ESE of Abepura, Indonesia",earthquake
2023-01-22T08:53:29.160Z,md,Tennessee,earthquake
2023-01-22T08:52:10.530Z,md,"5 km WSW of Guánica, Puerto Rico",earthquake
2023-01-22T08:35:17.993Z,mb,"near the north coast of New Guinea, Papua New Guinea",earthquake
2023-01-22T08:27:30.600Z,ml,"16 km E of Naalehu, Hawaii",earthquake
2023-01-22T08:06:29.990Z,md,"1 km W of Palomas, Puerto Rico",earthquake
2023-01-22T06:42:07.533Z,mb,"157 km NW of Tobelo, Indonesia",earthquake
2023-01-22T06:16:02.773Z,mb,Banda Sea,earthquake
2023-01-22T06:07:27.622Z,mb,"58 km WNW of San Juan, Peru",earthquake
2023-01-22T05:39:52.046Z,mb,"100 km NNW of Ambon, Indonesia",earthquake
2023-01-22T04:52:33.076Z,ml,western Texas,earthquake
2023-01-22T04:49:42.600Z,md,"2 km SW of Indios, Puerto Rico",earthquake
